day,temperatureMax,temperatureMin,daylight
2013-09-24,21.47,11.53,43513
2013-07-26,26.19,15.26,56574
2013-07-09,25.61,12.01,58949
2013-08-08,23.81,11.83,54122
2013-01-11,5.7,0.89,29524
2013-02-28,7.26,2.41,39046
2013-05-14,10.94,7.36,56034
2013-01-01,7.49,3.31,28544
2013-09-20,18.41,9.84,44453
2013-09-06,18.32,13.26,47723
2013-08-22,21.13,16.54,51134
2013-09-05,28.49,15.46,47954
2013-07-21,26.03,16.84,57390
2013-12-14,11.33,3.79,28346
2013-06-23,16.51,12.62,59892
2013-12-12,8.98,1.52,28455
2013-08-21,25.57,12.72,51355
2013-05-23,10.26,6.27,57544
2013-11-09,7.06,3.28,33127
2013-02-24,2.35,0.85,38110
2013-12-22,10.07,4.81,28168
2013-06-28,20.16,12.56,59754
2013-04-04,2.91,0.98,47362
2013-01-04,10.79,8.17,28779
2013-09-23,19.64,13.03,43748
2013-07-11,21.69,11.99,58734
2013-05-11,13.18,7.06,55476
2013-12-04,8.91,2.35,29128
2013-03-15,8.27,2.99,42606
2013-03-22,5.01,2.59,44276
2013-11-19,6.78,0.6,31256
2013-07-05,24.62,12.63,59318
2013-10-24,16.91,6.83,36550
2013-12-13,11.73,8.15,28398
2013-07-20,22.49,16.34,57543
2013-08-30,24.03,15.34,49332
2013-12-25,7.19,3.74,28207
2013-09-30,18.81,13.21,42102
2013-09-19,15.84,8.33,44688
2013-07-10,23.19,13.36,58844
2013-09-25,20.87,13.67,43277
2013-12-07,8.72,6.55,28833
2013-09-14,13.85,9.3,45860
2013-01-18,1.33,-1.93,30512
2013-06-06,20.88,8.73,59241
2013-11-12,13.11,6.08,32538
2013-03-05,16.06,1.87,40226
2013-03-19,7.72,2.81,43561
2013-04-15,15.43,10.08,49922
2013-08-28,23.38,12.45,49786
2013-01-27,10.26,4.72,32071
2013-06-10,14.56,10.61,59546
2013-09-04,27.04,14.09,48185
2013-04-21,14.12,1.46,51283
2013-02-07,5.53,1.24,34291
2013-11-16,9.14,1.38,31788
2013-03-16,7.51,5.79,42845
2013-09-12,18.02,12.58,46327
2013-11-15,9.25,3.33,31971
2013-11-18,9.3,7.37,31430
2013-04-01,5.88,1.1,46653
2013-04-30,13.71,5.94,53252
2013-12-16,12.89,7.95,28263
2013-03-17,7.3,2.36,43083
2013-05-26,18.82,6.24,57981
2013-12-21,11.95,9.41,28166
2013-10-13,11.47,8.87,39064
2013-09-07,17.7,11.39,47491
2013-06-05,19.64,8.96,59151
2013-02-22,1.36,0.2,37646
2013-01-09,9.21,1.77,29284
2013-01-13,3.48,1.04,29783
2013-11-10,9.22,2.58,32929
2013-12-01,9.42,2.43,29471
2013-06-16,17.34,11.46,59831
2013-07-24,26.24,15.59,56910
2013-09-13,18.09,14.78,46093
2013-03-03,7.83,-1.14,39753
2013-05-31,21.68,11.27,58626
2013-05-12,14.81,6.04,55665
2013-06-12,16.96,14.16,59664
2013-04-28,11.59,1.61,52824
2013-06-22,17.54,12.01,59902
2013-09-28,18.36,12.43,42572
2013-08-06,22.11,12.23,54524
2013-02-26,4.93,2.98,38578
2013-05-01,16.32,4.42,53463
2013-04-06,9.87,0.64,47831
2013-12-15,12.54,8.11,28301
2013-02-19,10.12,-1.43,36956
2013-03-29,5.31,-0.52,45942
2013-06-04,20.07,7.64,59056
2013-07-18,27.56,17.5,57836
2013-08-04,22.98,14.79,54919
2013-05-18,14.56,9.12,56738
2013-08-18,22.42,15.92,52013
2013-01-15,2.38,-0.83,30062
2013-06-03,18.66,7.24,58957
2013-03-02,4.69,0.63,39517
2013-03-07,9.63,7.43,40700
2013-04-05,7.34,1.88,47597
2013-05-28,12.13,9.78,58252
2013-04-19,11.95,6.17,50833
2013-05-16,15.13,4.17,56393
